мыло,мы-ло,house,soap.jpg
мышь,мышь,animals,mouse.jpg
мяч,мяч,toys,ball.jpg
напильник,на-пиль-ник,house,file.jpg
насос,на-сос,house,pump.jpg
незнайка,не-знай-ка,people,neznajka.jpg
нитки,нит-ки,house,thread.jpg
нога,но-га,body parts,leg.jpg
нож,нож,house,knife.jpg
ножницы,нож-ни-цы,toys,scissors.jpg
номер,но-мер,abstract,number.jpg
нора,но-ра,nature,rathole.jpg
нос,нос,body parts,nose.jpg
носки,нос-ки,clothing,socks.jpg
носорог,но-со-рог,animals,rhinoceros.jpg
обезьяна,о-безь-я-на,animals,monkey.jpg
овца,ов-ца,animals,sheep.jpg
огонь,о-гонь,nature,fire.jpg
огурец,о-гу-рец,food,cucumber.jpg
одеяло,о-де-яло,house,blanket.jpg
окно,ок-но,house,window.jpg
олень,о-лень,animals,deer.jpg
орех,о-рех,food,nut.jpg
оса,о-са,animals,wasp.jpg
отвёртка,от-вёрт-ка,house,screwdriver.jpg
пальма,паль-ма,plants,palm.jpg
паровоз,па-ро-воз,transport,train.jpg
пельмени,пель-ме-ни,food,pelmeni.jpg
перец,пе-рец,food,pepper.jpg
персик,пер-сик,food,peach.jpg
перчатки,пер-чат-ки,clothing,gloves.jpg
петух,пе-тух,animals,rooster.jpg
пианино,пи-а-ни-но,music,piano.jpg
пила,пи-ла,house,saw.jpg
пингвин,пин-гвин,animals,penguin.jpg
пирожок,пи-ро-жок,food,pirog.jpg
пластилин,плас-ти-лин,toys,playdough.jpg
подушка,по-душ-ка,house,pillow.jpg
полка,пол-ка,furniture,shelf.jpg
помидор,по-ми-дор,food,tomato.jpg
поросёнок,по-ро-сё-нок,animals,pig.jpg
радуга,ра-ду-га,nature,rainbow.jpg
разбойник,раз-бой-ник,people,razbojnik.jpg
рак,рак,animals,lobster.jpg
ракета,ра-ке-та,transport,rocket.jpg
расчёска,рас-чёс-ка,house,hairbrush.jpg
редиска,ре-дис-ка,food,radish.jpg
рога,ро-га,body parts,horns.jpg
рот,рот,body parts,mouth.jpg
рубашка,ру-баш-ка,clothing,shirt.jpg
рука,ру-ка,body parts,arm.jpg
ручей,ру-чей,nature,stream.jpg
рыба,ры-ба,animals,fish.jpg
самолёт,са-мо-лёт,transport,airplane.jpg
сандали,сан-да-ли,clothing,sandals.jpg
сапоги,са-по-ги,clothing,rainboots.jpg
сковорода,ско-во-ро-да,kitchen,fryingpan.jpg
скрипка,скрип-ка,music,violin.jpg
слон,слон,animals,elephant.jpg
собака,со-ба-ка,animals,dog.jpg
сова,со-ва,animals,owl.jpg
совок,со-вок,toys,beachshovel.jpg
стол,стол,furniture,table.jpg
стул,стул,furniture,chair.jpg
сумка,сум-ка,house,bag.jpg
сушки,суш-ки,food,sushki.jpg
сыр,сыр,food,cheese.jpg
табуретка,та-бу-рет-ка,furniture,stool.jpg
такси,так-си,transport,taxi.jpg
танк,танк,transport,tank.jpg
тарелка,та-рел-ка,kitchen,plate.jpg
телевизор,те-ле-ви-зор,furniture,tv.jpg
телефон,те-ле-фон,house,phone.jpg
тигр,тигр,animals,tiger.jpg
топор,то-пор,house,axe.jpg
трактор,трак-тор,transport,tractor.jpg
труба,тру-ба,music,trumpet.jpg
трусы,тру-сы,clothing,underpants.jpg
тыква,тык-ва,food,pumpkin.jpg
уголь,у-голь,nature,charcoal.jpg
узелок,у-зе-лок,abstract,knot.jpg
укроп,ук-роп,food,dill.jpg
улей,у-лей,house,beehive.jpg
улитка,у-лит-ка,animals,snail.jpg
усы,у-сы,body parts,moustache.jpg
утёнок,у-тё-нок,animals,duck.jpg
ухо,у-хо,body parts,ear.jpg
факел,фа-кел,house,torch.jpg
фасоль,фа-соль,food,beans.jpg
фен,фен,house,hairdryer.jpg
ферма,фер-ма,house,farm.jpg
фисташки,фис-таш-ки,food,pistachio.jpg
флаг,флаг,abstract,flag.jpg
фломастеры,фло-мас-те-ры,toys,markers.jpg
фонтан,фон-тан,abstract,fountain.jpg
фотоаппарат,фо-то-ап-па-рат,house,camera.jpg
халат,ха-лат,clothing,bathrobe.jpg
хвост,хвост,body parts,tail.jpg
хлеб,хлеб,food,bread.jpg
хобот,хо-бот,body parts,trunk.jpg
холодильник,хо-ло-диль-ник,house,frige.jpg
хомяк,хо-мяк,animals,hamster.jpg
цапля,цап-ля,animals,tsaplya.jpg
царь,царь,people,tzar.jpg
цветок,цве-ток,plants,flower.jpg
цепь,цепь,house,chain.jpg
цифры,циф-ры,abstract,digits.jpg
цуккини,цук-ки-ни,food,kabachok.jpg
цыплёнок,цып-лё-нок,animals,chick.jpg
чай,чай,food,tea.jpg
чайка,чай-ка,animals,seagull.jpg
чайник,чай-ник,house,teapot.jpg
часы,ча-сы,house,clock.jpg
чашка,чаш-ка,kitchen,cup.jpg
червяк,чер-вяк,animals,worm.jpg
черешня,че-реш-ня,food,cherries.jpg
черника,чер-ни-ка,food,blueberry.jpg
чеснок,чес-нок,food,garlic.jpg
чудовище,чу-до-ви-ще,animals,monster.jpg
шайба,шай-ба,toys,puck.jpg
шапка,шап-ка,clothing,hat.jpg
шар,шар,toys,balloon.jpg
шарф,шарф,clothing,scarf.jpg
шахматы,шах-ма-ты,toys,chess.jpg
шея,шея,body parts,neck.jpg
шило,ши-ло,house,shilo.jpg
шкаф,шкаф,furniture,wardrobe.jpg
шлагбаум,шлаг-ба-ум,house,shlagbaum.jpg
шоколад,шо-ко-лад,food,chocolate.jpg
шорты,шор-ты,clothing,shorts.jpg
штаны,шта-ны,clothing,pants.jpg
щёки,щё-ки,body parts,cheeks.jpg
щенок,ще-нок,animals,puppy.jpg
щепки,щеп-ки,house,schepki.jpg
щётка,щёт-ка,house,brush.jpg
щит,щит,clothing,schit.jpg
щука,щу-ка,animals,schuka.jpg
экскаватор,экс-ка-ва-тор,transport,excavator.jpg
